run aouts_lambda aktt_lambda effect observed mean sd t_ratio
23 2.5 4.5 AltInStars.2. 634.698 612.1654 42.96313 -0.5244646 
23 2.5 4.5 AltKTrianglesT.4.5. 71.8889 27.50667 9.391787 -4.725643 
23 2.5 4.5 AltOutStars.2.5. 2064.05 2017.632 75.53834 -0.6144919 
23 2.5 4.5 AltTwoPathsT.4.5. 384 291.8113 56.81957 -1.622482 
23 2.5 4.5 Arc 1079 1060.97 33.68315 -0.5352825 
24 2.5 5.0 AltInStars.2. 634.698 622.0791 42.39134 -0.2976764 
24 2.5 5.0 AltKTrianglesT.5. 72 29.8564 8.794932 -4.791805 
24 2.5 5.0 AltOutStars.2.5. 2064.05 2038.784 75.57562 -0.3343102 
24 2.5 5.0 AltTwoPathsT.5. 384.2 302.6924 48.97893 -1.664136 
24 2.5 5.0 Arc 1079 1069.44 32.50402 -0.2941174 
25 3.0 1.5 AltInStars.2. 634.698 659.7477 44.59532 0.5617114 
25 3.0 1.5 AltKTrianglesT.1.5. 69.6667 96.37332 17.02018 1.569115 
25 3.0 1.5 AltOutStars.3. 2380.54 2441.787 106.5448 0.5748454 
25 3.0 1.5 AltTwoPathsT.1.5. 380 430.3189 51.46473 0.9777353 
25 3.0 1.5 Arc 1079 1098.11 39.16964 0.4878779 
26 3.0 2.0 AltInStars.2. 634.698 620.7264 38.69862 -0.3610372 
26 3.0 2.0 AltKTrianglesT.2. 70.5 40.395 9.722746 -3.096347 
26 3.0 2.0 AltOutStars.3. 2380.54 2342.092 85.5138 -0.449614 
26 3.0 2.0 AltTwoPathsT.2. 381.5 316.7025 49.57768 -1.306989 
26 3.0 2.0 Arc 1079 1066.61 32.32471 -0.3832981 
27 3.0 2.5 AltInStars.2. 634.698 625.3593 46.07833 -0.202671 
27 3.0 2.5 AltKTrianglesT.2.5. 71 59.2012 23.69206 -0.4980066 
27 3.0 2.5 AltOutStars.3. 2380.54 2357.736 90.63893 -0.251595 
27 3.0 2.5 AltTwoPathsT.2.5. 382.4 351.5364 70.17772 -0.439792 
27 3.0 2.5 Arc 1079 1070.71 35.28106 -0.2349702 
28 3.0 3.0 AltInStars.2. 634.698 617.7204 55.50359 -0.3058833 
28 3.0 3.0 AltKTrianglesT.3. 71.3333 37.69778 11.81543 -2.846745 
28 3.0 3.0 AltOutStars.3. 2380.54 2340.867 116.5179 -0.3404849 
28 3.0 3.0 AltTwoPathsT.3. 383 311.4534 59.6499 -1.199443 
28 3.0 3.0 Arc 1079 1065.68 46.40683 -0.2870267 
29 3.0 3.5 AltInStars.2. 634.698 618.6542 48.33127 -0.3319549 
29 3.0 3.5 AltKTrianglesT.3.5. 71.5714 40.94225 14.81111 -2.067985 
29 3.0 3.5 AltOutStars.3. 2380.54 2344.321 112.6841 -0.321417 
29 3.0 3.5 AltTwoPathsT.3.5. 383.429 316.8894 50.70093 -1.312395 
29 3.0 3.5 Arc 1079 1066.66 43.18231 -0.2857652 
30 3.0 4.0 AltInStars.2. 634.698 607.6428 48.4446 -0.5584762 
30 3.0 4.0 AltKTrianglesT.4. 71.75 34.3075 11.37086 -3.292846 
30 3.0 4.0 AltOutStars.3. 2380.54 2321.549 104.2743 -0.5657329 
30 3.0 4.0 AltTwoPathsT.4. 383.75 301.2225 52.88381 -1.560544 
