nodeid EntryName
890 ANM5_HUMAN
891 CTDP1_HUMAN
892 GEMI5_HUMAN
893 GEMI4_HUMAN
894 STXB3_HUMAN
895 LSM11_HUMAN
896 MEP50_HUMAN
897 WBP4_HUMAN
898 CCL4_HUMAN
899 TGFB1_HUMAN
900 CCR1_HUMAN
901 CCR3_HUMAN
902 CCR5_HUMAN
903 CCR4_HUMAN
904 CCBP2_HUMAN
905 MDM2_HUMAN
906 PAPOA_HUMAN
907 CAV3_HUMAN
908 SL9A3_HUMAN
909 NHRF3_HUMAN
910 CHP1_HUMAN
911 OPRD_HUMAN
912 CHP2_HUMAN
913 COF1_HUMAN
914 PLM_HUMAN
915 TCTP_HUMAN
916 OXYR_HUMAN
917 E41L3_HUMAN
918 NGB_HUMAN
919 41_HUMAN
920 SSR5_HUMAN
921 CORT_HUMAN
922 PTAFR_HUMAN
923 V2R_HUMAN
924 TRIP6_HUMAN
925 1433G_HUMAN
926 ANXA7_HUMAN
927 PSN2_HUMAN
928 ANX11_HUMAN
929 GRAN_HUMAN
930 AP1B1_HUMAN
931 ERBB3_HUMAN
932 ITSN1_HUMAN
933 ABI1_HUMAN
934 ARF6_HUMAN
935 ABI3_HUMAN
936 PACN1_HUMAN
937 PACN3_HUMAN
938 SNX9_HUMAN
939 SNX18_HUMAN
940 TFF2_HUMAN
941 GNDS_HUMAN
942 E41L1_HUMAN
943 ACTZ_HUMAN
944 SPTB1_HUMAN
945 FANCC_HUMAN
946 SL9A2_HUMAN
947 GRIA2_HUMAN
948 SHAN1_HUMAN
949 FANCA_HUMAN
950 PPAC_HUMAN
951 E41L2_HUMAN
952 NMDZ1_HUMAN
953 MK10_HUMAN
954 SPTN2_HUMAN
955 AP1G1_HUMAN
956 CSRP3_HUMAN
957 KLC1_HUMAN
958 NEUT_HUMAN
959 ODFP2_HUMAN
960 SPAG4_HUMAN
961 SPAG5_HUMAN
962 SRPK1_HUMAN
963 CEP55_HUMAN
964 TITIN_HUMAN
965 OBSCN_HUMAN
966 NBPF3_HUMAN
967 DTNA_HUMAN
968 OVGP1_HUMAN
969 GRIA4_HUMAN
970 CYB5_HUMAN
971 PK3CD_HUMAN
972 CLC11_HUMAN
973 DPOLL_HUMAN
974 RET_HUMAN
975 THIM_HUMAN
976 MED29_HUMAN
977 TYY1_HUMAN
978 NR0B1_HUMAN
979 TWST2_HUMAN
980 CHK1_HUMAN
981 UFO_HUMAN
982 SOX9_HUMAN
983 SOX2_HUMAN
984 GATA4_HUMAN
985 TREF1_HUMAN
986 ZN653_HUMAN
987 PNRC2_HUMAN
988 ADRB2_HUMAN
989 TIMP3_HUMAN
990 TIMP1_HUMAN
991 PGCB_HUMAN
992 TICN3_HUMAN
993 H14_HUMAN
994 CALD1_HUMAN
995 VLDLR_HUMAN
996 LRP8_HUMAN
997 MMP25_HUMAN
998 DRD3_HUMAN
999 SYT1_HUMAN
1000 SNP25_HUMAN
1001 CAC1A_HUMAN
1002 S10AD_HUMAN
1003 HNRPQ_HUMAN
1004 ZDH17_HUMAN
1005 STON2_HUMAN
1006 DRD4_HUMAN
1007 SV2B_HUMAN
1008 NRX1A_HUMAN
1009 STAU1_HUMAN
1010 H31T_HUMAN
1011 MED8_HUMAN
1012 MED30_HUMAN
1013 MED9_HUMAN
1014 DAG1_HUMAN
1015 MED11_HUMAN
1016 BAP31_HUMAN
1017 STX1B_HUMAN
1018 SNP23_HUMAN
1019 VAPA_HUMAN
1020 VAPB_HUMAN
1021 VAMP8_HUMAN
1022 STX11_HUMAN
1023 CPLX1_HUMAN
1024 EGFR_HUMAN
1025 SYPL1_HUMAN
1026 CSKP_HUMAN
1027 TBB5_HUMAN
1028 EPOR_HUMAN
1029 EPHB4_HUMAN
1030 TBA1A_HUMAN
1031 APBA1_HUMAN
1032 CFTR_HUMAN
1033 SEPT5_HUMAN
1034 CO4A1_HUMAN
1035 DISC1_HUMAN
1036 FGFR3_HUMAN
1037 SNAA_HUMAN
1038 PRS6B_HUMAN
1039 NR4A1_HUMAN
1040 BCR_HUMAN
1041 BIG1_HUMAN
1042 FKBP2_HUMAN
1043 AKT3_HUMAN
