Locus_a,Symbol_a,Gene_ID_a,WormBase_ID_a,Locus_b,Symbol_b,Gene_ID_b,WormBase_ID_b,RSPGM_Score,Pubmed_ID,Author,BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26D11.11,let-413,179171,WBGene00002632,Y37E11AR.2,siah-1,177138,WBGene00021369,0.024767622,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26D11.11,let-413,179171,WBGene00002632,ZK1128.7,-,191528,WBGene00014233,0.002984925,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26D11.2,-,184973,WBGene00017819,T08G11.5,unc-29,172703,WBGene00006765,0.10637121,15990870,"Gottschalk A, et al. (2005)",-,-,-,IntAct,MINT,-,-
F26D12.1,fkh-7,177340,WBGene00001439,F53F8.1,klf-2,186179,WBGene00009998,0.096470408,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26D12.1,fkh-7,177340,WBGene00001439,M04B2.1,mep-1,178074,WBGene00003218,0.023183084,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26D12.1,fkh-7,177340,WBGene00001439,R53.3,egl-43,174552,WBGene00001207,0.038530182,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26D12.1,fkh-7,177340,WBGene00001439,Y53C12B.5,mab-3,174533,WBGene00003100,0.068813807,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26D2.2,syp-1,180102,WBGene00006375,F39H2.4,syp-3,172667,WBGene00006377,0.005389381,21840865,"Schild-Prufert K, et al. (2011)",BioGRID,-,-,-,-,-,-
F26E4.1,sur-6,172826,WBGene00006352,T08G5.5,vps-39,179902,WBGene00011625,0.19869857,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
F26E4.1,sur-6,172826,WBGene00006352,Y105E8A.1,-,260216,WBGene00013666,5.21e-005,18692475,"Boxem M, et al. (2008)",-,-,-,-,MINT,-,-
F26E4.1,sur-6,172826,WBGene00006352,Y105E8A.19,-,173311,WBGene00013677,0.001289108,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,-,-,-
F26E4.2,-,184980,WBGene00009157,F33D11.11,vpr-1,172259,WBGene00018008,0.000446978,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26E4.6,-,3565338,WBGene00009161,F43C1.2,mpk-1,175545,WBGene00003401,0.023565956,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",-,DIP,-,IntAct,MINT,WI8,-
F26E4.6,-,3565338,WBGene00009161,Y69H2.3,-,180221,WBGene00013481,0.015806461,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F26E4.7,-,172829,WBGene00009162,F43C1.2,mpk-1,175545,WBGene00003401,0.005333167,14704431,"Li S, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
F26E4.8,tba-1,172831,WBGene00006528,K01G5.4,ran-1,176503,WBGene00004302,0.066064227,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26E4.9,cco-1,172832,WBGene00000371,ZK250.8,math-50,173561,WBGene00022691,0.000173585,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26F12.1,col-140,178971,WBGene00000713,F42H10.7,ess-2,176200,WBGene00018371,0.001959106,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26F12.1,col-140,178971,WBGene00000713,R12B2.1,sma-4,175815,WBGene00004858,0.019568719,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26F12.3,-,178972,WBGene00017834,Y62E10A.1,rla-2,178297,WBGene00004410,5.8e-005,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F26F12.7,let-418,178970,WBGene00002637,M04B2.1,mep-1,178074,WBGene00003218,0.000117679,12507426,"Unhavaithaya Y, et al. (2002)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26F12.7,let-418,178970,WBGene00002637,Y40B1B.6,spr-5,173214,WBGene00005010,0.000152575,24749077,"Kaser-Pebernard S, et al. (2014)",-,-,-,-,-,-,WormBase
F26F12.7,let-418,178970,WBGene00002637,Y49E10.14,pie-1,176667,WBGene00004027,0.006620538,12507426,"Unhavaithaya Y, et al. (2002)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26F2.3,-,184984,WBGene00009168,W09H1.6,lec-1,174964,WBGene00002264,0.027727764,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F2.3,-,184984,WBGene00009168,ZK892.1,lec-3,174557,WBGene00002266,0.00923341,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.1,cee-1,175658,WBGene00017825,ZK637.5,asna-1,176254,WBGene00014025,0.003368609,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.11,rpb-8,175660,WBGene00017830,F49E8.4,cdd-2,186044,WBGene00000392,0.005026468,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.11,rpb-8,175660,WBGene00017830,R11G11.7,pqn-60,187826,WBGene00004144,0.008419815,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26F4.11,rpb-8,175660,WBGene00017830,W02G9.2,kel-8,3565011,WBGene00020952,0.09274299,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",-,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.11,rpb-8,175660,WBGene00017830,W02G9.3,-,178732,WBGene00020953,0.069721785,14704431,"Li S, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
F26F4.13,kbp-2,266885,WBGene00017832,R13F6.1,kbp-1,175957,WBGene00020064,0.56303956,15371340,"Cheeseman IM, et al. (2004)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26F4.13,kbp-2,266885,WBGene00017832,T10B5.6,knl-3,178669,WBGene00020392,0.54327733,15371340|17129783,"Cheeseman IM, et al. (2004)|Cheeseman IM, et al. (2006)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26F4.13,kbp-2,266885,WBGene00017832,Y47G6A.24,mis-12,171927,WBGene00021648,0.6807102,15371340|17129783,"Cheeseman IM, et al. (2004)|Cheeseman IM, et al. (2006)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26F4.2,-,184988,WBGene00005012,R09B5.5,pqn-54,187728,WBGene00004139,0.019827118,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.5,-,175653,WBGene00017827,T26A5.9,dlc-1,175922,WBGene00001005,0.005866981,14704431|18692475|19123269,"Li S, et al. (2004)|Boxem M, et al. (2008)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26F4.8,-,184991,WBGene00005011,F36F12.8,ztf-28,185364,WBGene00018099,0.001917039,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26F4.8,-,184991,WBGene00005011,F40F9.7,drap-1,179365,WBGene00009584,0.005415107,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26F4.8,-,184991,WBGene00005011,T07C4.6,tbx-9,176449,WBGene00006546,0.26369987,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26G1.1,-,173826,WBGene00017837,M01E11.6,klp-15,172213,WBGene00002225,0.001142044,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F26G1.4,ttm-2,184995,WBGene00017840,F53G12.4,-,186189,WBGene00018772,0.000606414,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F26G5.9,tam-1,178887,WBGene00006523,F38A6.1,pha-4,180357,WBGene00004013,0.019871781,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26G5.9,tam-1,178887,WBGene00006523,K07D4.7,ephx-1,173742,WBGene00019487,0.001389548,23549480,"Xin X, et al. (2013)",-,-,-,IntAct,-,-,-
F26G5.9,tam-1,178887,WBGene00006523,T04H1.2,-,179677,WBGene00011449,0.10066398,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F26G5.9,tam-1,178887,WBGene00006523,Y92H12A.1,src-1,171722,WBGene00005077,0.093580972,23549480,"Xin X, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,R12B2.4,him-10,175813,WBGene00001869,1,17129783,"Cheeseman IM, et al. (2006)",-,-,-,IntAct,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,R13F6.1,kbp-1,175957,WBGene00020064,1,15371340,"Cheeseman IM, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,T10B5.6,knl-3,178669,WBGene00020392,1,15371340,"Cheeseman IM, et al. (2004)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,W01B6.9,ndc-80,177873,WBGene00003576,1,17129783,"Cheeseman IM, et al. (2006)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,Y47G6A.24,mis-12,171927,WBGene00021648,1,15371340,"Cheeseman IM, et al. (2004)",-,-,-,IntAct,-,-,-
F26H11.1,kbp-3,175097,WBGene00009179,Y92C3B.1,kbp-4,175273,WBGene00022357,0.49989724,17129783,"Cheeseman IM, et al. (2006)",-,-,-,IntAct,-,-,-
F26H11.2,nurf-1,175098,WBGene00009180,M04B2.1,mep-1,178074,WBGene00003218,0.003085977,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.2,nurf-1,175098,WBGene00009180,R13H8.1,daf-16,172981,WBGene00000912,0.05265135,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.2,nurf-1,175098,WBGene00009180,Y113G7B.23,swsn-1,180324,WBGene00004203,0.044770745,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.2,nurf-1,175098,WBGene00009180,Y116A8C.36,itsn-1,178491,WBGene00006405,0.012439841,23549480,"Xin X, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.2,nurf-1,175098,WBGene00009180,Y73F8A.21,nhr-5,191717,WBGene00003604,0.006696152,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F26H11.4,-,175099,WBGene00009182,F28D1.2,-,178186,WBGene00009212,0.006996078,12445390|14704431|19123269,"Walhout AJ, et al. (2002)|Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,MINT,WI8,-
F26H11.4,-,175099,WBGene00009182,F54D10.7,-,173728,WBGene00018808,0.009533845,12445390|14704431|19123269,"Walhout AJ, et al. (2002)|Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,MINT,WI8,-
F26H11.4,-,175099,WBGene00009182,T11B7.1,-,177698,WBGene00011706,0.010849274,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F26H11.5,exl-1,175100,WBGene00001371,ZK1053.5,scrm-2,191509,WBGene00014200,0.012462675,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F26H9.6,rab-5,172755,WBGene00004268,F49E7.1,rme-6,180463,WBGene00004377,0.003404472,15895077,"Sato M, et al. (2005)",BioGRID,-,-,IntAct,-,-,-
F26H9.6,rab-5,172755,WBGene00004268,Y39A1A.5,rabx-5,176481,WBGene00012644,8.85e-006,15895077|20434987,"Sato M, et al. (2005)|Poteryaev D, et al. (2010)",BioGRID,-,-,IntAct,-,-,-
F26H9.7,uev-3,185003,WBGene00006732,F42G8.4,pmk-3,177610,WBGene00004057,0.000306769,20592265,"Trujillo G, et al. (2010)",BioGRID,-,-,-,-,-,-
F27C1.2,-,172196,WBGene00017852,T11B7.4,alp-1,177701,WBGene00001132,0.079373846,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F27C1.3,-,172194,WBGene00017853,F28D1.2,-,178186,WBGene00009212,0.02891566,-,,-,-,GeneOrienteer,-,-,-,-
F27C1.3,-,172194,WBGene00017853,F29G9.2,-,3564810,WBGene00017931,0.016565719,-,,-,-,GeneOrienteer,-,-,-,-
F27C1.3,-,172194,WBGene00017853,Y47D3B.9,bed-2,176576,WBGene00012943,0.006913838,-,,-,-,GeneOrienteer,-,-,-,-
F27C1.3,-,172194,WBGene00017853,Y48B6A.11,jmjd-2,175080,WBGene00012982,0.00269227,-,,-,-,GeneOrienteer,-,-,-,-
F27C1.3,-,172194,WBGene00017853,Y54E2A.3,tac-1,175133,WBGene00006381,0.10749009,-,,-,-,GeneOrienteer,-,-,-,-
F27C1.4,-,172193,WBGene00017854,F45H10.4,drr-1,174994,WBGene00009741,0.001143549,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27C1.4,-,172193,WBGene00017854,W06A7.3,ret-1,179981,WBGene00004336,0.030286982,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27C1.4,-,172193,WBGene00017854,Y23H5A.4,spe-47,189522,WBGene00021271,0.008803562,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27C1.4,-,172193,WBGene00017854,Y38C1AA.7,-,176830,WBGene00021398,0.023334947,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27C1.6,-,172192,WBGene00017855,F28D1.2,-,178186,WBGene00009212,0.038655288,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F27C1.6,-,172192,WBGene00017855,F29G9.2,-,3564810,WBGene00017931,0.018879554,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",-,DIP,-,IntAct,MINT,WI8,WormBase
F27C1.6,-,172192,WBGene00017855,F29G9.3,aps-1,178989,WBGene00000159,0.0162406,14704431,"Li S, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
F27C1.6,-,172192,WBGene00017855,T28C6.7,-,177697,WBGene00012121,0.004143225,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F27C1.6,-,172192,WBGene00017855,Y47D3B.9,bed-2,176576,WBGene00012943,0.012731189,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F27C1.6,-,172192,WBGene00017855,Y48B6A.11,jmjd-2,175080,WBGene00012982,0.004966456,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F27C1.6,-,172192,WBGene00017855,Y54E2A.3,tac-1,175133,WBGene00006381,0.12168816,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
F27C1.7,atp-3,172195,WBGene00000230,F56D2.2,-,175770,WBGene00018964,0.002130333,18692475|19123269,"Boxem M, et al. (2008)|Simonis N, et al. (2009)",BioGRID,-,-,IntAct,MINT,WI8,-
F27C1.7,atp-3,172195,WBGene00000230,W04D2.1,atn-1,179709,WBGene00000228,0.11837445,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
F27C1.7,atp-3,172195,WBGene00000230,ZK593.5,dnc-1,177987,WBGene00001017,0.004663143,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
F27C8.2,-,185013,WBGene00009183,T05G5.10,iff-1,176373,WBGene00002064,0.005719145,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,-
F27C8.2,-,185013,WBGene00009183,T08B2.5,-,172312,WBGene00020346,0.002439455,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F27C8.2,-,185013,WBGene00009183,T08G11.5,unc-29,172703,WBGene00006765,0.52285064,15990870,"Gottschalk A, et al. (2005)",-,-,-,IntAct,MINT,-,-
F27D4.2,lsy-22,172536,WBGene00009188,T07C4.2,tbx-8,176450,WBGene00006545,0.001822421,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27D4.2,lsy-22,172536,WBGene00009188,T07C4.6,tbx-9,176449,WBGene00006546,0.99998402,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27D4.2,lsy-22,172536,WBGene00009188,T22H9.4,dmd-8,188771,WBGene00020708,0.54337812,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27D4.2,lsy-22,172536,WBGene00009188,W02D3.9,unc-37,172394,WBGene00006773,0.002575367,18692475|19123269|20431118,"Boxem M, et al. (2008)|Simonis N, et al. (2009)|Flowers EB, et al. (2010)",BioGRID,-,-,IntAct,MINT,WI8,-
F27D4.2,lsy-22,172536,WBGene00009188,W10C8.2,pop-1,171849,WBGene00004077,0.024549338,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27D4.2,lsy-22,172536,WBGene00009188,Y53C12B.5,mab-3,174533,WBGene00003100,0.063822349,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27D4.5,tag-173,172539,WBGene00006518,Y39E4A.3,-,176716,WBGene00012713,0.006945094,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27D4.6,-,172540,WBGene00009190,Y40B10A.2,comt-3,189785,WBGene00021487,0.007252081,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27D9.1,unc-18,181030,WBGene00006757,F56A8.7,unc-64,176743,WBGene00006798,0.036947947,22593072,"Edwards MR, et al. (2012)",BioGRID,-,-,-,-,-,-
F27D9.6,dhs-29,181027,WBGene00000992,R11A8.8,mpz-5,3565993,WBGene00011241,0.008393183,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
F27E5.1,-,185021,WBGene00009192,T08G11.5,unc-29,172703,WBGene00006765,0.10637121,15990870,"Gottschalk A, et al. (2005)",-,-,-,IntAct,MINT,-,-
F27E5.2,pax-3,185022,WBGene00003939,F29F11.5,ceh-22,179485,WBGene00000445,0.10250557,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F32A11.6,moe-3,174960,WBGene00003388,0.31246638,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F33D4.1,nhr-8,177551,WBGene00003607,0.33688694,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F38A6.3,hif-1,180359,WBGene00001851,0.1973496,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F39B2.1,-,173348,WBGene00009553,0.072783288,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F40F9.7,drap-1,179365,WBGene00009584,0.50973943,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F43C1.4,nhr-20,175546,WBGene00003619,0.035029407,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F49H12.1,lsy-2,180522,WBGene00003087,0.64598762,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F52C12.5,elt-6,176993,WBGene00001253,0.31046375,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,F55H12.6,ztf-26,172699,WBGene00010137,0.04747413,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,K06A1.4,nhr-22,174066,WBGene00003621,0.11879958,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,K08A2.5,nhr-88,173641,WBGene00003678,0.10790449,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,K10C3.6,nhr-49,172839,WBGene00003639,0.50667887,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,M03C11.4,hat-1,176458,WBGene00044069,0.025814596,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,R02F2.5,-,187528,WBGene00019834,0.051069665,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
F27E5.2,pax-3,185022,WBGene00003939,R06C7.9,ztf-15,172470,WBGene00011066,0.23339016,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,R08E3.4,ztf-16,180756,WBGene00019960,0.65300829,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,R13H8.1,daf-16,172981,WBGene00000912,0.26052514,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,R53.3,egl-43,174552,WBGene00001207,0.45362408,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T05C12.6,mig-5,174317,WBGene00003241,0.047349723,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T07C4.6,tbx-9,176449,WBGene00006546,1,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T09A12.4,nhr-66,177618,WBGene00003656,0.067034039,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T12C9.1,nhr-273,188451,WBGene00020460,0.19103324,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T22B7.1,egl-13,180833,WBGene00001182,0.97369749,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T22H9.4,dmd-8,188771,WBGene00020708,0.99987778,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T24H10.7,jun-1,174452,WBGene00012005,0.33375465,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,T28F12.2,unc-62,178845,WBGene00006796,0.88491793,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,W02D3.9,unc-37,172394,WBGene00006773,0.039963837,19123269|23791784,"Simonis N, et al. (2009)|Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,WI8,-
F27E5.2,pax-3,185022,WBGene00003939,Y106G6H.4,madf-10,190925,WBGene00013717,0.22491748,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y45G5AM.1,nhr-114,178821,WBGene00003704,0.99347019,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y51H4A.4,zip-7,178459,WBGene00013100,0.99767166,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y53C12B.5,mab-3,174533,WBGene00003100,0.66821824,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y62E10A.17,aptf-2,190458,WBGene00013383,0.38476824,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y66A7A.8,tbx-33,190493,WBGene00006552,0.014698184,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,Y73F8A.21,nhr-5,191717,WBGene00003604,0.089188594,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,ZC64.3,ceh-18,180671,WBGene00000441,0.072103058,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,ZK616.10,ehn-3,191363,WBGene00001223,0.58022602,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F27E5.2,pax-3,185022,WBGene00003939,ZK909.4,ces-2,173365,WBGene00000469,0.27651118,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F28A12.1,acd-4,185036,WBGene00017879,Y113G7B.23,swsn-1,180324,WBGene00004203,0.00423251,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
F28B12.2,egl-44,174005,WBGene00001208,F34D10.5,lin-48,175485,WBGene00003033,0.012782309,16777607,"Deplancke B, et al. (2006)",-,-,GeneOrienteer,-,-,-,WormBase
F28B12.2,egl-44,174005,WBGene00001208,F45E1.7,sdpn-1,181058,WBGene00018467,0.023542382,23549480,"Xin X, et al. (2013)",-,-,-,IntAct,-,-,-
F28B12.2,egl-44,174005,WBGene00001208,F49B2.5,src-2,173296,WBGene00005078,0.008003887,23549480,"Xin X, et al. (2013)",-,-,-,IntAct,-,-,-
F28B12.2,egl-44,174005,WBGene00001208,K01B6.1,fozi-1,176308,WBGene00010453,0.014471681,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
F28B12.2,egl-44,174005,WBGene00001208,K04C2.6,med-2,191706,WBGene00003181,0.003296787,16777607,"Deplancke B, et al. (2006)",-,-,GeneOrienteer,-,-,-,WormBase
